dataset,method,random_state_value,min_support,max_depth,duration,train_acc,test_acc,reconstructed_dataset_entropy,no_knowledge_dataset_entropy,n_elementary_tokens,n_branches_rules,entropy_reduction_ratio,average_tokens_per_examples,n_elementary_tokens_path,leaves_support,sorted_leaves_single_example_entropy_list
compas,DL8.5,0,0.03,7,43.4433068272192,0.682204124068619,0.6708246708246708,122482.0,155817.0,20,21,0.7860631381684925,5.776295269450702,119,"[179, 218, 179, 173, 244, 272, 222, 174, 307, 323, 218, 514, 324, 271, 266, 236, 240, 371, 411, 322, 307]","[26.0, 24.0, 22.0, 21.0, 20.0, 20.0, 23.0, 23.0, 21.0, 20.0, 20.0, 22.0, 20.0, 20.0, 20.0, 20.0, 21.0, 21.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.03,8,81.11278881481849,0.682204124068619,0.6708246708246708,122482.0,155817.0,20,21,0.7860631381684925,5.776295269450702,119,"[179, 218, 179, 173, 244, 272, 222, 174, 307, 323, 218, 514, 324, 271, 266, 236, 240, 371, 411, 322, 307]","[26.0, 24.0, 22.0, 21.0, 20.0, 20.0, 23.0, 23.0, 21.0, 20.0, 20.0, 22.0, 20.0, 20.0, 20.0, 20.0, 21.0, 21.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.03,9,110.42114411690272,0.682204124068619,0.6708246708246708,122482.0,155817.0,20,21,0.7860631381684925,5.776295269450702,119,"[179, 218, 179, 173, 244, 272, 222, 174, 307, 323, 218, 514, 324, 271, 266, 236, 240, 371, 411, 322, 307]","[26.0, 24.0, 22.0, 21.0, 20.0, 20.0, 23.0, 23.0, 21.0, 20.0, 20.0, 22.0, 20.0, 20.0, 20.0, 20.0, 21.0, 21.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.03,10,153.68043505609967,0.682204124068619,0.6645876645876646,121035.0,155817.0,18,19,0.776776603323129,6.027031710275516,116,"[179, 218, 179, 173, 244, 272, 222, 296, 837, 343, 229, 656, 195, 284, 240, 272, 276, 245, 411]","[26.0, 24.0, 22.0, 21.0, 20.0, 20.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 18.0, 17.0, 17.0, 19.0, 19.0, 19.0]"
compas,DL8.5,0,0.04,1,0.10861891880631447,0.6340322301160978,0.6243936243936244,150046.0,155817.0,1,2,0.9629629629629629,1.0,2,"[1844, 3927]","[26.0, 26.0]"
compas,DL8.5,0,0.04,2,0.1622328399680555,0.663143302720499,0.6576576576576577,144275.0,155817.0,3,4,0.9259259259259259,2.0,8,"[869, 2444, 811, 1647]","[25.0, 25.0, 25.0, 25.0]"
compas,DL8.5,0,0.04,3,0.21889793197624385,0.6709409114538208,0.6701316701316701,138772.0,155817.0,6,7,0.8906088552596957,2.953560907988217,20,"[580, 901, 414, 1055, 268, 640, 1913]","[24.0, 24.0, 24.0, 24.0, 25.0, 24.0, 24.0]"
compas,DL8.5,0,0.04,4,0.7730925770010799,0.6763125974701092,0.6729036729036729,133824.0,155817.0,12,13,0.8588536552494273,3.8109513082654654,49,"[324, 532, 236, 596, 475, 411, 739, 467, 329, 251, 365, 486, 560]","[23.0, 23.0, 23.0, 23.0, 24.0, 23.0, 23.0, 23.0, 23.0, 24.0, 24.0, 23.0, 23.0]"
compas,DL8.5,0,0.04,5,4.18465072195977,0.6790850805752903,0.6708246708246708,131613.0,155817.0,14,15,0.8446639326902713,4.194073817362676,64,"[449, 259, 686, 310, 324, 380, 330, 236, 411, 247, 492, 467, 329, 374, 477]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 22.0, 22.0, 23.0, 24.0]"
compas,DL8.5,0,0.04,6,9.589402612065896,0.6792583607693641,0.6687456687456688,130660.0,155817.0,15,16,0.8385477836179621,4.359209842315023,71,"[449, 259, 686, 310, 324, 380, 330, 236, 520, 339, 272, 237, 392, 437, 238, 362]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 24.0, 23.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.04,7,10.623956752941012,0.6792583607693641,0.6687456687456688,130660.0,155817.0,15,16,0.8385477836179621,4.359209842315023,71,"[449, 259, 686, 310, 324, 380, 330, 236, 520, 339, 272, 237, 392, 437, 238, 362]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 24.0, 23.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.04,8,15.13487286795862,0.6792583607693641,0.6687456687456688,130660.0,155817.0,15,16,0.8385477836179621,4.359209842315023,71,"[449, 259, 686, 310, 324, 380, 330, 236, 520, 339, 272, 237, 392, 437, 238, 362]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 24.0, 23.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.04,9,18.657063361024484,0.6792583607693641,0.6687456687456688,130660.0,155817.0,15,16,0.8385477836179621,4.359209842315023,71,"[449, 259, 686, 310, 324, 380, 330, 236, 520, 339, 272, 237, 392, 437, 238, 362]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 24.0, 23.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.04,10,26.959940384840593,0.6792583607693641,0.6687456687456688,130660.0,155817.0,15,16,0.8385477836179621,4.359209842315023,71,"[449, 259, 686, 310, 324, 380, 330, 236, 520, 339, 272, 237, 392, 437, 238, 362]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 22.0, 22.0, 23.0, 22.0, 22.0, 24.0, 23.0, 22.0, 21.0, 21.0]"
compas,DL8.5,0,0.05,1,0.11238511092960835,0.6340322301160978,0.6243936243936244,150046.0,155817.0,1,2,0.9629629629629629,1.0,2,"[1844, 3927]","[26.0, 26.0]"
compas,DL8.5,0,0.05,2,0.1271095098927617,0.663143302720499,0.6576576576576577,144275.0,155817.0,3,4,0.9259259259259259,2.0,8,"[869, 2444, 811, 1647]","[25.0, 25.0, 25.0, 25.0]"
compas,DL8.5,0,0.05,3,0.2158430339768529,0.6704210708715994,0.6826056826056826,138504.0,155817.0,7,8,0.8888888888888888,3.0,24,"[679, 1009, 411, 1214, 325, 350, 486, 1297]","[24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0]"
compas,DL8.5,0,0.05,4,0.6334316658321768,0.6747530757234448,0.683991683991684,134083.0,155817.0,9,10,0.8605158615555427,3.766071738000347,36,"[325, 350, 679, 1009, 411, 1214, 432, 305, 486, 560]","[25.0, 25.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0]"
compas,DL8.5,0,0.05,5,2.1600710349157453,0.6768324380523306,0.6701316701316701,132412.0,155817.0,13,14,0.8497917428778632,4.0556229422976955,58,"[449, 325, 620, 310, 324, 380, 714, 314, 288, 381, 516, 411, 375, 364]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 23.0, 22.0, 22.0, 23.0, 24.0, 23.0, 22.0, 22.0]"
compas,DL8.5,0,0.05,6,4.169356988975778,0.6768324380523306,0.6701316701316701,132412.0,155817.0,13,14,0.8497917428778632,4.0556229422976955,58,"[449, 325, 620, 310, 324, 380, 714, 314, 288, 381, 516, 411, 375, 364]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 23.0, 22.0, 22.0, 23.0, 24.0, 23.0, 22.0, 22.0]"
compas,DL8.5,0,0.05,7,6.706938325893134,0.6768324380523306,0.6701316701316701,132412.0,155817.0,13,14,0.8497917428778632,4.0556229422976955,58,"[449, 325, 620, 310, 324, 380, 714, 314, 288, 381, 516, 411, 375, 364]","[25.0, 23.0, 23.0, 24.0, 22.0, 22.0, 23.0, 22.0, 22.0, 23.0, 24.0, 23.0, 22.0, 22.0]"
